null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
-219.0;94.0;-247.0;-184.0;-4.0;17236.0;-205.0;103.0;-18.0;108.0;-32.0;17296.0;1000.0;1000.0;1000.0;1000.0
-199.0;147.0;3.0;116.0;128.0;17328.0;-224.0;133.0;2.0;124.0;16.0;17364.0;2000.0;2000.0;2000.0;2000.0
-190.0;100.0;-256.0;104.0;-24.0;17420.0;-224.0;118.0;12.0;56.0;68.0;17288.0;1200.0;1200.0;1200.0;1200.0
-212.0;82.0;8.0;104.0;24.0;17336.0;-206.0;133.0;-5.0;-180.0;-204.0;17584.0;1300.0;1300.0;1300.0;1300.0
-198.0;99.0;-27.0;48.0;24.0;17248.0;-211.0;114.0;-11.0;116.0;252.0;17276.0;1400.0;1400.0;1400.0;1400.0
-207.0;117.0;-14.0;168.0;12.0;17364.0;-181.0;102.0;1.0;76.0;-8.0;17340.0;1500.0;1500.0;1500.0;1500.0
-214.0;105.0;-7.0;36.0;240.0;17372.0;-217.0;115.0;-2.0;124.0;24.0;17360.0;1600.0;1600.0;1600.0;1600.0
-181.0;109.0;8.0;136.0;36.0;17348.0;-216.0;96.0;-35.0;80.0;236.0;17180.0;1700.0;1700.0;1700.0;1700.0
-208.0;96.0;-7.0;252.0;108.0;17248.0;-202.0;116.0;-14.0;80.0;44.0;17364.0;1800.0;1800.0;1800.0;1800.0
-189.0;131.0;-4.0;52.0;60.0;17296.0;-204.0;124.0;-13.0;112.0;-8.0;17168.0;0.0;0.0;0.0;0.0
